Force: -0.7600691787035517
Flowrate: 0.013941223012651077
Power: 0.25693674012315937
r [m]       	vel [m/s]   	Tau [N/m²]  	
    0.003900	    0.574132	     -4.4358	
    0.003925	    0.574125	     -4.4642	
    0.003950	    0.574118	     -4.4926	
    0.003975	    0.574111	     -4.5211	
    0.004000	    0.574104	     -4.5495	
    0.004025	    0.574097	     -4.5779	
    0.004050	    0.574090	     -4.6063	
    0.004075	    0.574083	     -4.6348	
    0.004100	    0.574076	     -4.6632	
    0.004125	    0.574069	     -4.6916	
    0.004150	    0.574062	     -4.7200	
    0.004175	    0.574054	     -4.7484	
    0.004200	    0.574047	     -4.7769	
    0.004225	    0.574040	     -4.8053	
    0.004250	    0.574032	     -4.8337	
    0.004275	    0.574025	     -4.8621	
    0.004300	    0.574018	     -4.8905	
    0.004325	    0.574010	     -4.9189	
    0.004350	    0.574003	     -4.9474	
    0.004375	    0.573995	     -4.9758	
    0.004400	    0.573987	     -5.0042	
    0.004425	    0.573980	     -5.0326	
    0.004450	    0.573972	     -5.0610	
    0.004475	    0.573964	     -5.0894	
    0.004500	    0.573956	     -5.1179	
    0.004525	    0.573949	     -5.1463	
    0.004550	    0.573941	     -5.1747	
    0.004575	    0.573933	     -5.2031	
    0.004600	    0.573925	     -5.2315	
    0.004625	    0.573917	     -5.2599	
    0.004650	    0.573909	     -5.2884	
    0.004675	    0.573901	     -5.3168	
    0.004700	    0.573892	     -5.3452	
    0.004725	    0.573884	     -5.3736	
    0.004750	    0.573876	     -5.4020	
    0.004775	    0.573868	     -5.4304	
    0.004800	    0.573859	     -5.4588	
    0.004825	    0.573851	     -5.4872	
    0.004850	    0.573843	     -5.5157	
    0.004875	    0.573834	     -5.5441	
    0.004900	    0.573826	     -5.5725	
    0.004925	    0.573817	     -5.6009	
    0.004950	    0.573808	     -5.6293	
    0.004975	    0.573800	     -5.6577	
    0.005000	    0.573791	     -5.6861	
    0.005025	    0.573782	     -5.7145	
    0.005050	    0.573774	     -5.7429	
    0.005075	    0.573765	     -5.7714	
    0.005100	    0.573756	     -5.7998	
    0.005125	    0.573747	     -5.8282	
    0.005150	    0.573738	     -5.8566	
    0.005175	    0.573729	     -5.8850	
    0.005200	    0.573720	     -5.9134	
    0.005225	    0.573711	     -5.9418	
    0.005250	    0.573702	     -5.9702	
    0.005275	    0.573693	     -5.9986	
    0.005300	    0.573684	     -6.0270	
    0.005325	    0.573674	     -6.0554	
    0.005350	    0.573665	     -6.0838	
    0.005375	    0.573656	     -6.1122	
    0.005400	    0.573646	     -6.1406	
    0.005425	    0.573637	     -6.1690	
    0.005450	    0.573628	     -6.1975	
    0.005475	    0.573618	     -6.2259	
    0.005500	    0.573608	     -6.2543	
    0.005525	    0.573599	     -6.2827	
    0.005550	    0.573589	     -6.3111	
    0.005575	    0.573580	     -6.3395	
    0.005600	    0.573570	     -6.3679	
    0.005625	    0.573560	     -6.3963	
    0.005650	    0.573550	     -6.4247	
    0.005675	    0.573540	     -6.4531	
    0.005700	    0.573531	     -6.4815	
    0.005725	    0.573521	     -6.5099	
    0.005750	    0.573511	     -6.5383	
    0.005775	    0.573501	     -6.5667	
    0.005800	    0.573491	     -6.5951	
    0.005825	    0.573480	     -6.6235	
    0.005850	    0.573470	     -6.6519	
    0.005875	    0.573460	     -6.6803	
    0.005900	    0.573450	     -6.7087	
    0.005925	    0.573440	     -6.7371	
    0.005950	    0.573429	     -6.7655	
    0.005975	    0.573419	     -6.7939	
    0.006000	    0.573408	     -6.8223	
    0.006025	    0.573398	     -6.8506	
    0.006050	    0.573387	     -6.8790	
    0.006075	    0.573377	     -6.9074	
    0.006100	    0.573366	     -6.9358	
    0.006125	    0.573356	     -6.9642	
    0.006150	    0.573345	     -6.9926	
    0.006175	    0.573334	     -7.0210	
    0.006200	    0.573323	     -7.0494	
    0.006225	    0.573313	     -7.0778	
    0.006250	    0.573302	     -7.1062	
    0.006275	    0.573291	     -7.1346	
    0.006300	    0.573280	     -7.1630	
    0.006325	    0.573269	     -7.1914	
    0.006350	    0.573258	     -7.2198	
    0.006375	    0.573247	     -7.2481	
    0.006400	    0.573236	     -7.2765	
    0.006425	    0.573225	     -7.3049	
    0.006450	    0.573213	     -7.3333	
    0.006475	    0.573202	     -7.3617	
    0.006500	    0.573191	     -7.3901	
    0.006525	    0.573180	     -7.4185	
    0.006550	    0.573168	     -7.4469	
    0.006575	    0.573157	     -7.4753	
    0.006600	    0.573145	     -7.5036	
    0.006625	    0.573134	     -7.5320	
    0.006650	    0.573122	     -7.5604	
    0.006675	    0.573111	     -7.5888	
    0.006700	    0.573099	     -7.6172	
    0.006725	    0.573087	     -7.6456	
    0.006750	    0.573076	     -7.6740	
    0.006775	    0.573064	     -7.7023	
    0.006800	    0.573052	     -7.7307	
    0.006825	    0.573040	     -7.7591	
    0.006850	    0.573028	     -7.7875	
    0.006875	    0.573016	     -7.8159	
    0.006900	    0.573004	     -7.8442	
    0.006925	    0.572992	     -7.8726	
    0.006950	    0.572980	     -7.9010	
