Force: -0.1754374456793037
Flowrate: 0.013932787827220754
Power: 0.07147520155364247
r [m]       	vel [m/s]   	Tau [N/m²]  	
    0.003900	    0.554473	     -3.8459	
    0.003925	    0.554467	     -3.8705	
    0.003950	    0.554461	     -3.8952	
    0.003975	    0.554455	     -3.9198	
    0.004000	    0.554449	     -3.9444	
    0.004025	    0.554443	     -3.9691	
    0.004050	    0.554437	     -3.9937	
    0.004075	    0.554430	     -4.0183	
    0.004100	    0.554424	     -4.0430	
    0.004125	    0.554418	     -4.0676	
    0.004150	    0.554412	     -4.0922	
    0.004175	    0.554406	     -4.1169	
    0.004200	    0.554399	     -4.1415	
    0.004225	    0.554393	     -4.1661	
    0.004250	    0.554387	     -4.1907	
    0.004275	    0.554380	     -4.2154	
    0.004300	    0.554374	     -4.2400	
    0.004325	    0.554367	     -4.2646	
    0.004350	    0.554361	     -4.2893	
    0.004375	    0.554354	     -4.3139	
    0.004400	    0.554347	     -4.3385	
    0.004425	    0.554341	     -4.3631	
    0.004450	    0.554334	     -4.3878	
    0.004475	    0.554327	     -4.4124	
    0.004500	    0.554321	     -4.4370	
    0.004525	    0.554314	     -4.4616	
    0.004550	    0.554307	     -4.4863	
    0.004575	    0.554300	     -4.5109	
    0.004600	    0.554293	     -4.5355	
    0.004625	    0.554286	     -4.5601	
    0.004650	    0.554279	     -4.5847	
    0.004675	    0.554272	     -4.6094	
    0.004700	    0.554265	     -4.6340	
    0.004725	    0.554258	     -4.6586	
    0.004750	    0.554251	     -4.6832	
    0.004775	    0.554244	     -4.7078	
    0.004800	    0.554236	     -4.7325	
    0.004825	    0.554229	     -4.7571	
    0.004850	    0.554222	     -4.7817	
    0.004875	    0.554214	     -4.8063	
    0.004900	    0.554207	     -4.8309	
    0.004925	    0.554200	     -4.8555	
    0.004950	    0.554192	     -4.8802	
    0.004975	    0.554185	     -4.9048	
    0.005000	    0.554177	     -4.9294	
    0.005025	    0.554170	     -4.9540	
    0.005050	    0.554162	     -4.9786	
    0.005075	    0.554154	     -5.0032	
    0.005100	    0.554147	     -5.0278	
    0.005125	    0.554139	     -5.0525	
    0.005150	    0.554131	     -5.0771	
    0.005175	    0.554123	     -5.1017	
    0.005200	    0.554116	     -5.1263	
    0.005225	    0.554108	     -5.1509	
    0.005250	    0.554100	     -5.1755	
    0.005275	    0.554092	     -5.2001	
    0.005300	    0.554084	     -5.2247	
    0.005325	    0.554076	     -5.2493	
    0.005350	    0.554068	     -5.2739	
    0.005375	    0.554060	     -5.2986	
    0.005400	    0.554052	     -5.3232	
    0.005425	    0.554043	     -5.3478	
    0.005450	    0.554035	     -5.3724	
    0.005475	    0.554027	     -5.3970	
    0.005500	    0.554019	     -5.4216	
    0.005525	    0.554010	     -5.4462	
    0.005550	    0.554002	     -5.4708	
    0.005575	    0.553994	     -5.4954	
    0.005600	    0.553985	     -5.5200	
    0.005625	    0.553977	     -5.5446	
    0.005650	    0.553968	     -5.5692	
    0.005675	    0.553960	     -5.5938	
    0.005700	    0.553951	     -5.6184	
    0.005725	    0.553942	     -5.6430	
    0.005750	    0.553934	     -5.6676	
    0.005775	    0.553925	     -5.6922	
    0.005800	    0.553916	     -5.7168	
    0.005825	    0.553908	     -5.7414	
    0.005850	    0.553899	     -5.7660	
    0.005875	    0.553890	     -5.7906	
    0.005900	    0.553881	     -5.8152	
    0.005925	    0.553872	     -5.8398	
    0.005950	    0.553863	     -5.8644	
    0.005975	    0.553854	     -5.8890	
    0.006000	    0.553845	     -5.9136	
    0.006025	    0.553836	     -5.9382	
    0.006050	    0.553827	     -5.9627	
    0.006075	    0.553818	     -5.9873	
    0.006100	    0.553809	     -6.0119	
    0.006125	    0.553799	     -6.0365	
    0.006150	    0.553790	     -6.0611	
    0.006175	    0.553781	     -6.0857	
    0.006200	    0.553771	     -6.1103	
    0.006225	    0.553762	     -6.1349	
    0.006250	    0.553753	     -6.1595	
    0.006275	    0.553743	     -6.1840	
    0.006300	    0.553734	     -6.2086	
    0.006325	    0.553724	     -6.2332	
    0.006350	    0.553715	     -6.2578	
    0.006375	    0.553705	     -6.2824	
    0.006400	    0.553695	     -6.3070	
    0.006425	    0.553686	     -6.3316	
    0.006450	    0.553676	     -6.3561	
    0.006475	    0.553666	     -6.3807	
    0.006500	    0.553656	     -6.4053	
    0.006525	    0.553647	     -6.4299	
    0.006550	    0.553637	     -6.4545	
    0.006575	    0.553627	     -6.4790	
    0.006600	    0.553617	     -6.5036	
    0.006625	    0.553607	     -6.5282	
    0.006650	    0.553597	     -6.5528	
    0.006675	    0.553587	     -6.5773	
    0.006700	    0.553577	     -6.6019	
    0.006725	    0.553567	     -6.6265	
    0.006750	    0.553556	     -6.6511	
    0.006775	    0.553546	     -6.6756	
    0.006800	    0.553536	     -6.7002	
    0.006825	    0.553526	     -6.7248	
    0.006850	    0.553515	     -6.7494	
    0.006875	    0.553505	     -6.7739	
    0.006900	    0.553495	     -6.7985	
    0.006925	    0.553484	     -6.8231	
    0.006950	    0.553474	     -6.8476	
    0.006975	    0.553463	     -6.8722	
    0.007000	    0.553453	     -6.8968	
    0.007025	    0.553442	     -6.9214	
    0.007050	    0.553431	     -6.9459	
    0.007075	    0.553421	     -6.9705	
    0.007100	    0.553410	     -6.9950	
    0.007125	    0.553399	     -7.0196	
    0.007150	    0.553389	     -7.0442	
    0.007175	    0.553378	     -7.0687	
    0.007200	    0.553367	     -7.0933	
    0.007225	    0.553356	     -7.1179	
    0.007250	    0.553345	     -7.1424	
    0.007275	    0.553334	     -7.1670	
    0.007300	    0.553323	     -7.1915	
    0.007325	    0.553312	     -7.2161	
    0.007350	    0.553301	     -7.2407	
    0.007375	    0.553290	     -7.2652	
    0.007400	    0.553279	     -7.2898	
    0.007425	    0.553267	     -7.3143	
    0.007450	    0.553256	     -7.3389	
    0.007475	    0.553245	     -7.3634	
    0.007500	    0.553234	     -7.3880	
    0.007525	    0.553222	     -7.4125	
    0.007550	    0.553211	     -7.4371	
    0.007575	    0.553200	     -7.4617	
    0.007600	    0.553188	     -7.4862	
    0.007625	    0.553177	     -7.5108	
    0.007650	    0.553165	     -7.5353	
    0.007675	    0.553153	     -7.5598	
    0.007700	    0.553142	     -7.5844	
    0.007725	    0.553130	     -7.6089	
    0.007750	    0.553119	     -7.6335	
    0.007775	    0.553107	     -7.6580	
    0.007800	    0.553095	     -7.6826	
    0.007825	    0.553083	     -7.7071	
    0.007850	    0.553071	     -7.7317	
    0.007875	    0.553060	     -7.7562	
    0.007900	    0.553048	     -7.7808	
    0.007925	    0.553036	     -7.8053	
    0.007950	    0.553024	     -7.8298	
    0.007975	    0.553012	     -7.8544	
    0.008000	    0.553000	     -7.8789	
    0.008025	    0.552987	     -7.9035	
    0.008050	    0.552975	     -7.9280	
    0.008075	    0.552963	     -7.9525	
    0.008100	    0.552951	     -7.9771	
    0.008125	    0.552939	     -8.0016	
    0.008150	    0.552926	     -8.0261	
    0.008175	    0.552914	     -8.0507	
    0.008200	    0.552902	     -8.0752	
    0.008225	    0.552889	     -8.0997	
    0.008250	    0.552877	     -8.1243	
    0.008275	    0.552864	     -8.1488	
    0.008300	    0.552852	     -8.1733	
    0.008325	    0.552839	     -8.1978	
    0.008350	    0.552827	     -8.2224	
    0.008375	    0.552814	     -8.2469	
    0.008400	    0.552801	     -8.2714	
    0.008425	    0.552789	     -8.2959	
    0.008450	    0.552776	     -8.3205	
    0.008475	    0.552763	     -8.3450	
    0.008500	    0.552750	     -8.3695	
    0.008525	    0.552737	     -8.3940	
    0.008550	    0.552725	     -8.4186	
    0.008575	    0.552712	     -8.4431	
    0.008600	    0.552699	     -8.4676	
    0.008625	    0.552686	     -8.4921	
    0.008650	    0.552673	     -8.5166	
    0.008675	    0.552659	     -8.5412	
    0.008700	    0.552646	     -8.5657	
    0.008725	    0.552633	     -8.5902	
    0.008750	    0.552620	     -8.6147	
    0.008775	    0.552607	     -8.6392	
    0.008800	    0.552593	     -8.6637	
    0.008825	    0.552580	     -8.6882	
    0.008850	    0.552567	     -8.7127	
    0.008875	    0.552553	     -8.7373	
    0.008900	    0.552540	     -8.7618	
    0.008925	    0.552526	     -8.7863	
    0.008950	    0.552513	     -8.8108	
    0.008975	    0.552499	     -8.8353	
    0.009000	    0.552486	     -8.8598	
    0.009025	    0.552472	     -8.8843	
    0.009050	    0.552459	     -8.9088	
    0.009075	    0.552445	     -8.9333	
    0.009100	    0.552431	     -8.9578	
    0.009125	    0.552417	     -8.9823	
    0.009150	    0.552404	     -9.0068	
    0.009175	    0.552390	     -9.0313	
    0.009200	    0.552376	     -9.0558	
    0.009225	    0.552362	     -9.0803	
    0.009250	    0.552348	     -9.1048	
    0.009275	    0.552334	     -9.1293	
    0.009300	    0.552320	     -9.1538	
    0.009325	    0.552306	     -9.1783	
    0.009350	    0.552292	     -9.2028	
    0.009375	    0.552278	     -9.2273	
    0.009400	    0.552263	     -9.2518	
    0.009425	    0.552249	     -9.2762	
    0.009450	    0.552235	     -9.3007	
    0.009475	    0.552221	     -9.3252	
    0.009500	    0.552206	     -9.3497	
    0.009525	    0.552192	     -9.3742	
    0.009550	    0.552177	     -9.3987	
    0.009575	    0.552163	     -9.4232	
    0.009600	    0.552148	     -9.4477	
    0.009625	    0.552134	     -9.4721	
    0.009650	    0.552119	     -9.4966	
    0.009675	    0.552105	     -9.5211	
    0.009700	    0.552090	     -9.5456	
    0.009725	    0.552075	     -9.5701	
    0.009750	    0.552061	     -9.5945	
    0.009775	    0.552046	     -9.6190	
    0.009800	    0.552031	     -9.6435	
    0.009825	    0.552016	     -9.6680	
    0.009850	    0.552001	     -9.6924	
    0.009875	    0.551987	     -9.7169	
    0.009900	    0.551972	     -9.7414	
    0.009925	    0.551957	     -9.7659	
    0.009950	    0.551942	     -9.7903	
    0.009975	    0.551927	     -9.8148	
    0.010000	    0.551911	     -9.8393	
    0.010025	    0.551896	     -9.8637	
    0.010050	    0.551881	     -9.8882	
    0.010075	    0.551866	     -9.9127	
    0.010100	    0.551851	     -9.9371	
    0.010125	    0.551835	     -9.9616	
    0.010150	    0.551820	     -9.9861	
    0.010175	    0.551805	    -10.0105	
    0.010200	    0.551789	    -10.0350	
    0.010225	    0.551774	    -10.0594	
    0.010250	    0.551758	    -10.0839	
    0.010275	    0.551743	    -10.1084	
    0.010300	    0.551727	    -10.1328	
    0.010325	    0.551712	    -10.1573	
    0.010350	    0.551696	    -10.1817	
    0.010375	    0.551680	    -10.2062	
    0.010400	    0.551665	    -10.2306	
    0.010425	    0.551649	    -10.2551	
    0.010450	    0.551633	    -10.2795	
    0.010475	    0.551617	    -10.3040	
    0.010500	    0.551601	    -10.3284	
    0.010525	    0.551586	    -10.3529	
    0.010550	    0.551570	    -10.3773	
    0.010575	    0.551554	    -10.4018	
    0.010600	    0.551538	    -10.4262	
    0.010625	    0.551522	    -10.4507	
    0.010650	    0.551505	    -10.4751	
    0.010675	    0.551489	    -10.4995	
    0.010700	    0.551473	    -10.5240	
    0.010725	    0.551457	    -10.5484	
    0.010750	    0.551441	    -10.5729	
    0.010775	    0.551424	    -10.5973	
    0.010800	    0.551408	    -10.6217	
    0.010825	    0.551392	    -10.6462	
    0.010850	    0.551375	    -10.6706	
    0.010875	    0.551359	    -10.6950	
    0.010900	    0.551342	    -10.7195	
    0.010925	    0.551326	    -10.7439	
    0.010950	    0.551309	    -10.7683	
    0.010975	    0.551293	    -10.7928	
    0.011000	    0.551276	    -10.8172	
    0.011025	    0.551260	    -10.8416	
    0.011050	    0.551243	    -10.8660	
    0.011075	    0.551226	    -10.8905	
    0.011100	    0.551209	    -10.9149	
    0.011125	    0.551193	    -10.9393	
    0.011150	    0.551176	    -10.9637	
    0.011175	    0.551159	    -10.9882	
    0.011200	    0.551142	    -11.0126	
    0.011225	    0.551125	    -11.0370	
    0.011250	    0.551108	    -11.0614	
    0.011275	    0.551091	    -11.0858	
    0.011300	    0.551074	    -11.1102	
    0.011325	    0.551057	    -11.1347	
    0.011350	    0.551039	    -11.1591	
    0.011375	    0.551022	    -11.1835	
    0.011400	    0.551005	    -11.2079	
    0.011425	    0.550988	    -11.2323	
    0.011450	    0.550970	    -11.2567	
    0.011475	    0.550953	    -11.2811	
    0.011500	    0.550936	    -11.3055	
    0.011525	    0.550918	    -11.3299	
    0.011550	    0.550901	    -11.3543	
    0.011575	    0.550883	    -11.3787	
    0.011600	    0.550866	    -11.4031	
    0.011625	    0.550848	    -11.4275	
    0.011650	    0.550831	    -11.4519	
    0.011675	    0.550813	    -11.4763	
    0.011700	    0.550795	    -11.5007	
    0.011725	    0.550778	    -11.5251	
    0.011750	    0.550760	    -11.5495	
    0.011775	    0.550742	    -11.5739	
    0.011800	    0.550724	    -11.5983	
    0.011825	    0.550706	    -11.6227	
    0.011850	    0.550688	    -11.6471	
    0.011875	    0.550670	    -11.6715	
    0.011900	    0.550652	    -11.6959	
    0.011925	    0.550634	    -11.7202	
    0.011950	    0.550616	    -11.7446	
    0.011975	    0.550598	    -11.7690	
    0.012000	    0.550580	    -11.7934	
    0.012025	    0.550562	    -11.8178	
    0.012050	    0.550544	    -11.8422	
    0.012075	    0.550525	    -11.8665	
    0.012100	    0.550507	    -11.8909	
    0.012125	    0.550489	    -11.9153	
    0.012150	    0.550470	    -11.9397	
    0.012175	    0.550452	    -11.9640	
    0.012200	    0.550434	    -11.9884	
    0.012225	    0.550415	    -12.0128	
    0.012250	    0.550397	    -12.0372	
    0.012275	    0.550378	    -12.0615	
    0.012300	    0.550359	    -12.0859	
    0.012325	    0.550341	    -12.1103	
    0.012350	    0.550322	    -12.1346	
    0.012375	    0.550303	    -12.1590	
    0.012400	    0.550285	    -12.1834	
    0.012425	    0.550266	    -12.2077	
    0.012450	    0.550247	    -12.2321	
    0.012475	    0.550228	    -12.2565	
    0.012500	    0.550209	    -12.2808	
    0.012525	    0.550190	    -12.3052	
    0.012550	    0.550171	    -12.3295	
    0.012575	    0.550152	    -12.3539	
    0.012600	    0.550133	    -12.3782	
    0.012625	    0.550114	    -12.4026	
    0.012650	    0.550095	    -12.4269	
    0.012675	    0.550076	    -12.4513	
    0.012700	    0.550056	    -12.4756	
    0.012725	    0.550037	    -12.5000	
    0.012750	    0.550018	    -12.5243	
    0.012775	    0.549999	    -12.5487	
    0.012800	    0.549979	    -12.5730	
    0.012825	    0.549960	    -12.5974	
    0.012850	    0.549940	    -12.6217	
    0.012875	    0.549921	    -12.6461	
